epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,12471.6,1.33165,1.75296,1.60506,0.5183,0.63463,0.60634,0.30195,1.56371,2.67284,1.98474,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,12595,1.3192,1.76813,1.60097,0.57471,0.62321,0.62182,0.31273,1.57166,2.70874,1.95729,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,12718.7,1.32773,1.77863,1.59396,0.57088,0.63414,0.61634,0.30917,1.56288,2.77116,1.96944,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,12842.5,1.3031,1.76462,1.59222,0.55285,0.64346,0.60416,0.30939,1.5364,2.64684,1.97202,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,12965.8,1.32177,1.74835,1.60069,0.55121,0.6032,0.58965,0.29424,1.58541,2.79202,1.99955,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,13088.8,1.29783,1.73472,1.58467,0.53083,0.63503,0.60156,0.3063,1.56286,2.68929,1.96993,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,13211.9,1.29442,1.72167,1.58179,0.51837,0.6425,0.61423,0.30805,1.57497,2.57978,1.99167,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,13335.5,1.31879,1.70835,1.59367,0.54936,0.62306,0.60399,0.2914,1.61834,2.57433,2.01235,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,13458.2,1.31732,1.7207,1.5818,0.58001,0.63644,0.62997,0.30563,1.60314,2.47178,2.01258,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,13581.3,1.28495,1.68481,1.56973,0.56914,0.64363,0.6385,0.31018,1.57266,2.47765,2.02636,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,13704.7,1.2914,1.72364,1.57793,0.59437,0.60748,0.63638,0.31526,1.54493,2.53889,1.99053,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,13828.3,1.29454,1.67705,1.56532,0.60445,0.6262,0.63619,0.32428,1.52767,2.46566,1.95256,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,13951.3,1.28151,1.65894,1.56495,0.59168,0.63529,0.62186,0.31978,1.54508,2.48873,1.94916,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,14074.5,1.2718,1.70152,1.56413,0.58843,0.6372,0.61752,0.30933,1.56767,2.57678,2.00253,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,14197.9,1.26792,1.64954,1.54716,0.61001,0.63222,0.62714,0.30976,1.55821,2.43846,1.98857,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,14321.3,1.27134,1.65778,1.55725,0.63957,0.61365,0.63126,0.31004,1.57385,2.42736,1.99971,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,14444.4,1.27594,1.65097,1.5636,0.57743,0.60689,0.6087,0.30018,1.57245,2.44182,1.98364,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,14567.6,1.27501,1.63691,1.55652,0.55811,0.63934,0.62581,0.30749,1.54801,2.473,1.9989,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,14691,1.26364,1.62665,1.54484,0.58166,0.63892,0.64188,0.31317,1.57347,2.35514,2.00134,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,14814.1,1.26142,1.63513,1.5549,0.58497,0.63741,0.63169,0.31823,1.56883,2.37544,2.01782,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,14937.4,1.26399,1.65194,1.56121,0.60776,0.65317,0.65779,0.33413,1.54693,2.32225,1.97746,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,15060.9,1.24975,1.60755,1.53871,0.5879,0.66159,0.63932,0.31369,1.56457,2.34749,1.99276,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,15184,1.25424,1.61743,1.5456,0.57451,0.67006,0.66367,0.33327,1.55006,2.31993,1.97666,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
