epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,420.992,1.06906,1.02279,1.3951,0.61195,0.6406,0.6634,0.34482,1.6526,1.43208,1.90598,0.0002674,0.0002674,0.0002674
76,426.529,1.07787,1.03344,1.38175,0.63831,0.65886,0.6708,0.33862,1.6701,1.45477,1.93955,0.0002575,0.0002575,0.0002575
77,432.007,1.07173,1.04852,1.37512,0.63314,0.67683,0.68736,0.35339,1.64504,1.39234,1.92664,0.0002476,0.0002476,0.0002476
78,437.606,1.06403,1.01778,1.37237,0.63847,0.66024,0.67745,0.34479,1.6637,1.44612,1.93551,0.0002377,0.0002377,0.0002377
79,443.093,1.05985,1.02196,1.36128,0.62802,0.65788,0.65959,0.34386,1.63039,1.40533,1.89929,0.0002278,0.0002278,0.0002278
80,448.568,1.06866,1.00995,1.37553,0.65063,0.66052,0.67942,0.34565,1.65481,1.40062,1.92615,0.0002179,0.0002179,0.0002179
81,454.076,1.05519,1.01467,1.37644,0.61549,0.6689,0.67055,0.35125,1.63639,1.44525,1.90838,0.000208,0.000208,0.000208
82,459.604,1.05133,1.01552,1.37049,0.64807,0.6514,0.67845,0.35189,1.62808,1.42283,1.90347,0.0001981,0.0001981,0.0001981
83,465.122,1.04362,0.99826,1.36862,0.64447,0.63003,0.68241,0.35022,1.65735,1.42261,1.92795,0.0001882,0.0001882,0.0001882
84,470.606,1.03595,0.99194,1.36369,0.65146,0.63972,0.68231,0.34864,1.63907,1.41736,1.91207,0.0001783,0.0001783,0.0001783
85,476.112,1.03328,0.97313,1.33739,0.64769,0.64621,0.69125,0.35893,1.60762,1.40195,1.91619,0.0001684,0.0001684,0.0001684
86,481.64,1.02214,0.95952,1.33839,0.66392,0.65172,0.68323,0.34773,1.6277,1.41298,1.9199,0.0001585,0.0001585,0.0001585
87,487.154,1.0127,0.96901,1.34169,0.66648,0.63846,0.687,0.35466,1.63986,1.4161,1.92363,0.0001486,0.0001486,0.0001486
88,492.688,1.02045,0.96389,1.35138,0.64421,0.66524,0.68437,0.35207,1.65651,1.40555,1.93641,0.0001387,0.0001387,0.0001387
89,498.429,1.00799,0.95071,1.33231,0.64852,0.66605,0.67454,0.34184,1.673,1.44293,1.93956,0.0001288,0.0001288,0.0001288
90,504.107,1.00281,0.95157,1.32638,0.64237,0.67926,0.69033,0.35377,1.6716,1.39328,1.93479,0.0001189,0.0001189,0.0001189
91,510.457,1.06033,0.97318,1.39665,0.66033,0.63339,0.68556,0.34602,1.68043,1.40168,1.97395,0.000109,0.000109,0.000109
92,515.891,0.98548,0.91459,1.36825,0.61555,0.66872,0.67307,0.34645,1.62339,1.4025,1.92388,9.91e-05,9.91e-05,9.91e-05
93,521.344,0.95927,0.86965,1.32674,0.63011,0.64723,0.67193,0.34589,1.65348,1.39265,1.95882,8.92e-05,8.92e-05,8.92e-05
94,526.75,0.9684,0.87363,1.35311,0.66356,0.63582,0.68183,0.35262,1.65383,1.38984,1.9541,7.93e-05,7.93e-05,7.93e-05
95,532.141,0.97445,0.86769,1.35521,0.64234,0.64,0.67761,0.35376,1.65492,1.38078,1.94693,6.94e-05,6.94e-05,6.94e-05
96,537.551,0.94941,0.85035,1.33737,0.66339,0.64862,0.6766,0.35055,1.67461,1.37365,1.95498,5.95e-05,5.95e-05,5.95e-05
97,542.962,0.95084,0.86851,1.33635,0.65441,0.66383,0.6789,0.34961,1.66921,1.38618,1.95859,4.96e-05,4.96e-05,4.96e-05
98,548.351,0.94456,0.82606,1.32401,0.6297,0.67535,0.68229,0.35708,1.66496,1.36671,1.96315,3.97e-05,3.97e-05,3.97e-05
99,553.916,0.94049,0.83338,1.32421,0.64917,0.67129,0.68081,0.35538,1.66206,1.36882,1.95661,2.98e-05,2.98e-05,2.98e-05
100,559.332,0.94604,0.85599,1.34215,0.65498,0.66807,0.68659,0.35777,1.65361,1.37305,1.94915,1.99e-05,1.99e-05,1.99e-05
