epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,745.818,1.395,1.25836,1.32,0.5988,0.6439,0.67566,0.35062,1.61458,1.50939,1.45214,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,762.629,1.38527,1.24919,1.31841,0.59813,0.68169,0.69486,0.36449,1.56581,1.47244,1.44592,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,778.404,1.39057,1.23927,1.31304,0.64395,0.6003,0.66057,0.34012,1.65368,1.5265,1.48596,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,794.829,1.38528,1.23913,1.30965,0.61744,0.666,0.69012,0.35356,1.59719,1.46472,1.46635,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,810.81,1.38218,1.22651,1.3095,0.60871,0.68632,0.71196,0.3726,1.58484,1.43728,1.45744,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,826.714,1.37695,1.23751,1.30867,0.63145,0.66193,0.70218,0.3559,1.59393,1.45913,1.45304,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,842.989,1.37657,1.23758,1.31131,0.63201,0.65485,0.70524,0.36668,1.56665,1.4548,1.44869,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,859.067,1.38632,1.22344,1.30631,0.62259,0.66991,0.70146,0.37018,1.56379,1.44395,1.44828,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,875.437,1.37537,1.23724,1.29975,0.61983,0.65902,0.68685,0.3503,1.6002,1.47971,1.45208,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,891.121,1.37585,1.2377,1.30639,0.63472,0.64373,0.6951,0.35555,1.59149,1.46779,1.46335,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,906.544,1.37749,1.22732,1.30358,0.63922,0.63338,0.70134,0.36346,1.55977,1.46104,1.45122,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,922.536,1.37556,1.2237,1.30112,0.65039,0.63289,0.68698,0.35612,1.57361,1.47216,1.4329,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,938.362,1.35871,1.21547,1.29484,0.6247,0.65408,0.69714,0.36095,1.56152,1.45258,1.44222,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,954.815,1.36544,1.20638,1.2897,0.62338,0.67067,0.69279,0.35828,1.57197,1.44243,1.44162,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,970.228,1.35784,1.19892,1.284,0.66585,0.64868,0.70605,0.36849,1.54435,1.43176,1.42253,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,985.993,1.35244,1.20854,1.29586,0.68712,0.63274,0.70448,0.35945,1.58559,1.46598,1.43991,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,1002.2,1.36138,1.20171,1.30026,0.64512,0.68664,0.71725,0.36963,1.55332,1.44746,1.44439,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,1016.94,1.37101,1.20848,1.29801,0.62793,0.65622,0.70582,0.36801,1.56284,1.45818,1.43429,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,1033.16,1.35881,1.19007,1.2913,0.64446,0.66938,0.69342,0.35957,1.57383,1.47359,1.44207,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,1049.14,1.34322,1.1857,1.2861,0.65141,0.65167,0.69904,0.35716,1.58354,1.44878,1.4531,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
